seq_id	position	gene_name	gene_position	treatment	replicate	gene_product
G_contig000016	210323.0	xdhA_1/entS	intergenic_(+89/+50)	0	1	Xanthine_dehydrogenase_molybdenum-binding_subunit/Enterobactin_exporter_EntS
G_contig000016	210289.0	xdhA_1/entS	intergenic_(+55/+84)	0	3	Xanthine_dehydrogenase_molybdenum-binding_subunit/Enterobactin_exporter_EntS
G_contig000016	210294.0	xdhA_1/entS	intergenic_(+60/+79)	0	3	Xanthine_dehydrogenase_molybdenum-binding_subunit/Enterobactin_exporter_EntS
G_contig000016	210295.0	xdhA_1/entS	intergenic_(+61/+78)	0	3	Xanthine_dehydrogenase_molybdenum-binding_subunit/Enterobactin_exporter_EntS
G_contig000002	223805.0	aspA	132	0	4	Aspartate_ammonia-lyase
G_contig000002	223148.0	aspA	789	2	4	Aspartate_ammonia-lyase
G_contig000017	44691.0	oppF/ppiC_1	intergenic_(+113/-181)	0	3	Oligopeptide_transport_ATP-binding_protein_OppF/Peptidyl-prolyl_cis-trans_isomerase_C
G_contig000017	44692.0	oppF/ppiC_1	intergenic_(+114/-180)	0	3	Oligopeptide_transport_ATP-binding_protein_OppF/Peptidyl-prolyl_cis-trans_isomerase_C
G_contig000017	44657.0	oppF/ppiC_1	intergenic_(+79/-215)	0	5	Oligopeptide_transport_ATP-binding_protein_OppF/Peptidyl-prolyl_cis-trans_isomerase_C
G_contig000017	44705.0	oppF/ppiC_1	intergenic_(+127/-167)	0	5	Oligopeptide_transport_ATP-binding_protein_OppF/Peptidyl-prolyl_cis-trans_isomerase_C
G_contig000017	44710.0	oppF/ppiC_1	intergenic_(+132/-162)	0	5	Oligopeptide_transport_ATP-binding_protein_OppF/Peptidyl-prolyl_cis-trans_isomerase_C
G_contig000001	256737.0	oxlT	909	0	1	Oxalate:formate_antiporter
G_contig000001	257284.0	oxlT	362	1	3	Oxalate:formate_antiporter
G_contig000049	183.0	-/G_03466	intergenic_(-/+955)	0	1	-/hypothetical_protein
G_contig000049	1121.0	-/G_03466	intergenic_(-/+17)	0	5	-/hypothetical_protein
G_contig000049	1130.0	-/G_03466	intergenic_(-/+8)	0	5	-/hypothetical_protein
G_contig000007	203949.0	G_01240	516	0	4	C-5_cytosine-specific_DNA_methylase
G_contig000007	204080.0	G_01240	647	1	2	C-5_cytosine-specific_DNA_methylase
G_contig000007	262169.0	acnA_1/G_01290	intergenic_(+48/+81)	0	3	Aconitate_hydratase_1/Aspartyl/Asparaginyl_beta-hydroxylase
G_contig000007	262170.0	acnA_1/G_01290	intergenic_(+49/+80)	0	3	Aconitate_hydratase_1/Aspartyl/Asparaginyl_beta-hydroxylase
G_contig000007	262172.0	acnA_1/G_01290	intergenic_(+51/+78)	0	3	Aconitate_hydratase_1/Aspartyl/Asparaginyl_beta-hydroxylase
G_contig000007	262201.0	acnA_1/G_01290	intergenic_(+80/+49)	0	3	Aconitate_hydratase_1/Aspartyl/Asparaginyl_beta-hydroxylase
G_contig000007	262202.0	acnA_1/G_01290	intergenic_(+81/+48)	0	3	Aconitate_hydratase_1/Aspartyl/Asparaginyl_beta-hydroxylase
G_contig000075	611.0	-/ghrB_2	intergenic_(-/+136)	0	2	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	23.0	-/ghrB_2	intergenic_(-/+724)	0	3	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	81.0	-/ghrB_2	intergenic_(-/+666)	0	3	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	155.0	-/ghrB_2	intergenic_(-/+592)	0	3	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	591.0	-/ghrB_2	intergenic_(-/+156)	0	4	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	592.0	-/ghrB_2	intergenic_(-/+155)	0	4	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000075	671.0	-/ghrB_2	intergenic_(-/+76)	1	4	-/Glyoxylate/hydroxypyruvate_reductase_B
G_contig000091	250720.0	ypeA_2/G_05833	intergenic_(-63/-222)	0	3	Acetyltransferase_YpeA/Amidinotransferase
